Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation,MultifilmNomination
1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051251,The Noose,tt0019217,Richard Barthelmess,Richard Barthelmess,[{'imdb_id': 'nm0001932'}],False,Nickie Elkins,,,True
1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051252,The Patent Leather Kid,tt0018253,Richard Barthelmess,Richard Barthelmess,[{'imdb_id': 'nm0001932'}],False,The Patent Leather Kid,,,True
1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051250a,The Last Command,tt0019071,Emil Jannings,Emil Jannings,[{'imdb_id': 'nm0417837'}],True,General Dolgorucki [Grand Duke Sergius Alexander],,,True
1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0051250b,The Way of All Flesh,tt0019553,Emil Jannings,Emil Jannings,[{'imdb_id': 'nm0417837'}],True,August Schilling,,,True
1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051255,A Ship Comes In,tt0018389,Louise Dresser,Louise Dresser,[{'imdb_id': 'nm0237571'}],False,Mrs. Pleznik,,,
1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051254a,7th Heaven,tt0018379,Janet Gaynor,Janet Gaynor,[{'imdb_id': 'nm0310980'}],True,Diane,,,True
1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051254b,Street Angel,tt0019429,Janet Gaynor,Janet Gaynor,[{'imdb_id': 'nm0310980'}],True,Angela,,,True
1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051254c,Sunrise,tt0018455,Janet Gaynor,Janet Gaynor,[{'imdb_id': 'nm0310980'}],True,The Wife,,,True
1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0051256,Sadie Thompson,tt0019344,Gloria Swanson,Gloria Swanson,[{'imdb_id': 'nm0841797'}],False,Sadie Thompson,,,
1,1928,Production,ART DIRECTION,ART DIRECTION,an0051282,Sunrise,tt0018455,Rochus Gliese,Rochus Gliese,[{'imdb_id': 'nm0322843'}],False,,,,
1,1928,Production,ART DIRECTION,ART DIRECTION,an0051279,The Dove,tt0017822,William Cameron Menzies,William Cameron Menzies,[{'imdb_id': 'nm0580017'}],True,,,,True
1,1928,Production,ART DIRECTION,ART DIRECTION,an0051280,Tempest,tt0019451,William Cameron Menzies,William Cameron Menzies,[{'imdb_id': 'nm0580017'}],True,,,,True
1,1928,Production,ART DIRECTION,ART DIRECTION,an0051281,7th Heaven,tt0018379,Harry Oliver,Harry Oliver,[{'imdb_id': 'nm0646856'}],False,,,,
1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051273,The Devil Dancer,tt0017806,George Barnes,George Barnes,[{'imdb_id': 'nm0055604'}],False,,,,True
1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051275,The Magic Flame,tt0018129,George Barnes,George Barnes,[{'imdb_id': 'nm0055604'}],False,,,,True
1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051277,Sadie Thompson,tt0019344,George Barnes,George Barnes,[{'imdb_id': 'nm0055604'}],False,,,,True
1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0051272,Sunrise,tt0018455,"Charles Rosher, Karl Struss","Charles Rosher, Karl Struss","[{'imdb_id': 'nm0003546'}, {'imdb_id': 'nm0835365'}]",True,,"NOTE: For this awards year, awards were presented in the name of the individual and could honor work on one or more films. Charles Rosher and Karl Struss were both honored for cinematography on this film. It is considered a single nomination for the film.",,
1,1928,Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),an0051257,Two Arabian Knights,tt0018515,Lewis Milestone,Lewis Milestone,[{'imdb_id': 'nm0587277'}],True,,,,
1,1928,Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),an0051259,Speedy,tt0019412,Ted Wilde,Ted Wilde,[{'imdb_id': 'nm0928514'}],False,,,,
1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),an0051260,7th Heaven,tt0018379,Frank Borzage,Frank Borzage,[{'imdb_id': 'nm0097648'}],True,,,,
1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),an0051261,Sorrell and Son,tt0018429,Herbert Brenon,Herbert Brenon,[{'imdb_id': 'nm0107543'}],False,,,,
1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),an0051262,The Crowd,tt0018806,King Vidor,King Vidor,[{'imdb_id': 'nm0896542'}],False,,,,
1,1928,Production,VISUAL EFFECTS,ENGINEERING EFFECTS,an0051285,,,Ralph Hammeras,Ralph Hammeras,[{'imdb_id': 'nm0358518'}],False,,NOTE: This nomination was not associated with any specific film title.,,
1,1928,Production,VISUAL EFFECTS,ENGINEERING EFFECTS,an0051283,Wings,tt0018578,Roy Pomeroy,Roy Pomeroy,[{'imdb_id': 'nm0690120'}],True,,,,
1,1928,Production,VISUAL EFFECTS,ENGINEERING EFFECTS,an0051284,,,Nugent Slaughter,Nugent Slaughter,[{'imdb_id': 'nm0805521'}],False,,"NOTE: Though no specific titles were indicated during the presentation on May 16, 1929, or in the official results from the Central Board of Judges for this honorable mention, Academy records indicate that Mr. Slaughter was most often mentioned in connection with The Jazz Singer.",,
1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,an0051244,The Racket,tt0019304,The Caddo Company,The Caddo Company,[{'imdb_id': 'co0074827'}],False,,,,
1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,an0051245,7th Heaven,tt0018379,Fox,Fox,[{'imdb_id': 'co0028775'}],False,,,,
1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,an0051242,Wings,tt0018578,Paramount Famous Lasky,Paramount Famous Lasky,[{'imdb_id': 'co0023400'}],True,,,,
1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,an0051247,Sunrise,tt0018455,Fox,Fox,[{'imdb_id': 'co0028775'}],True,,,,
1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,an0051249,The Crowd,tt0018806,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,[{'imdb_id': 'co0007143'}],False,,,,
1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,an0051248,Chang,tt0017743,Paramount Famous Lasky,Paramount Famous Lasky,[{'imdb_id': 'co0023400'}],False,,,,
1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),an0051265,The Jazz Singer,tt0018037,Alfred Cohn,Alfred Cohn,[{'imdb_id': 'nm0169879'}],False,,,,
1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),an0051264,Glorious Betsy,tt0018945,Anthony Coldeway,Anthony Coldeway,[{'imdb_id': 'nm0170401'}],False,,,,
1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),an0051263,7th Heaven,tt0018379,Benjamin Glazer,Benjamin Glazer,[{'imdb_id': 'nm0322227'}],True,,,,
1,1928,Writing,WRITING (Original Story),WRITING (Original Story),an0051267,The Last Command,tt0019071,Lajos Biro,Lajos Biro,[{'imdb_id': 'nm0083742'}],False,,,,
1,1928,Writing,WRITING (Original Story),WRITING (Original Story),an0051266,Underworld,tt0018526,Ben Hecht,Ben Hecht,[{'imdb_id': 'nm0372942'}],True,,,,
1,1928,Writing,WRITING (Title Writing),WRITING (Title Writing),an0051271,The Private Life of Helen of Troy,tt0017979,Gerald Duffy,Gerald Duffy,[{'imdb_id': 'nm0240534'}],False,,,,
1,1928,Writing,WRITING (Title Writing),WRITING (Title Writing),an0051269,,,Joseph Farnham,Joseph Farnham,[{'imdb_id': 'nm0267868'}],True,,NOTE: This award was not associated with any specific film title.,,
1,1928,Writing,WRITING (Title Writing),WRITING (Title Writing),an0051270,,,"George Marion, Jr.",George Marion Jr.,[{'imdb_id': 'nm0547938'}],False,,NOTE: This nomination was not associated with any specific film title.,,
1,1928,Special,SPECIAL AWARD,SPECIAL AWARD,an0051420,The Jazz Singer,tt0018037,,Warner Bros.,[{'imdb_id': 'co0080422'}],True,,,"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry.",
1,1928,Special,SPECIAL AWARD,SPECIAL AWARD,an0051421,The Circus,tt0018773,,Charles Chaplin,[{'imdb_id': 'nm0000122'}],True,,"NOTE: \""The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself.\"" (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)","To Charles Chaplin, for acting, writing, directing and producing The Circus.",
2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0053792,Thunderbolt,tt0020499,George Bancroft,George Bancroft,[{'imdb_id': 'nm0051628'}],False,Thunderbolt Jim Lang,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.",,
2,1929,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0053791,In Old Arizona,tt0020018,Warner Baxter,Warner Baxter,[{'imdb_id': 'nm0062828'}],True,The Cisco Kid,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",,
