slug,rank
hamnet,1
send-help,2
marty-supreme,3
the-housemaid-2025,4
iron-lung,5
sinners-2025,6
bugonia,7
the-muppet-show,8
train-dreams,9
one-battle-after-another,10
sentimental-value-2025,11
no-other-choice-2025,12
zootopia-2,13
if-i-had-legs-id-kick-you,14
people-we-meet-on-vacation,15
frankenstein-2025,16
the-secret-agent-2025,17
28-years-later-the-bone-temple,18
dead-poets-society,19
f1,20
the-moment-2026,21
wake-up-dead-man,22
good-will-hunting,23
the-rip-2026,24
die-my-love,25
the-wrecking-crew-2026,26
the-perks-of-being-a-wallflower,27
weapons-2025,28
kill-bill-vol-1,29
avatar-fire-and-ash,30
groundhog-day,31
inglourious-basterds,32
10-things-i-hate-about-you,33
even-if-this-love-disappears-tonight,34
wonder-man-2026,35
eyes-wide-shut,36
anaconda-2025,37
fight-club,38
la-la-land,39
interstellar,40
whiplash-2014,41
dhurandhar,42
the-lord-of-the-rings-the-fellowship-of-the-ring,43
the-devil-wears-prada,44
parasite-2019,45
primate-2025,46
kpop-demon-hunters,47
500-days-of-summer,48
the-ugly-stepsister,49
the-lord-of-the-rings-the-return-of-the-king,50
guru-2025,51
best-in-show,52
28-years-later,53
return-to-silent-hill,54
eternal-sunshine-of-the-spotless-mind,55
pulp-fiction,56
the-notebook,57
little-miss-sunshine,58
dracula-2025,59
se7en,60
bones-and-all,61
how-to-lose-a-guy-in-10-days,62
call-me-by-your-name,63
the-lord-of-the-rings-the-two-towers,64
the-silence-of-the-lambs,65
rental-family-2025,66
bottoms,67
eternity-2025-1,68
the-substance,69
the-perfect-neighbour,70
lost-in-translation,71
blue-velvet,72
