Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation,MultifilmNomination
45,1972,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0053939,The Godfather,tt0068646,Marlon Brando,Marlon Brando,[{'imdb_id': 'nm0000008'}],True,Don Vito Corleone,NOTE: Mr. Brando refused the award.,,
45,1972,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0053951,The Godfather,tt0068646,James Caan,James Caan,[{'imdb_id': 'nm0001001'}],False,Sonny Corleone,,,
45,1972,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0053952,The Godfather,tt0068646,Robert Duvall,Robert Duvall,[{'imdb_id': 'nm0000380'}],False,Tom Hagen,,,
45,1972,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0053953,The Godfather,tt0068646,Al Pacino,Al Pacino,[{'imdb_id': 'nm0000199'}],False,Michael Corleone,,,
45,1972,Production,COSTUME DESIGN,COSTUME DESIGN,an0053985,The Godfather,tt0068646,Anna Hill Johnstone,Anna Hill Johnstone,[{'imdb_id': 'nm0426895'}],False,,,,
45,1972,Directing,DIRECTING,DIRECTING,an0053961,The Godfather,tt0068646,Francis Ford Coppola,Francis Ford Coppola,[{'imdb_id': 'nm0000338'}],False,,,,
45,1972,Production,FILM EDITING,FILM EDITING,an0053996,The Godfather,tt0068646,"William Reynolds, Peter Zinner","William Reynolds, Peter Zinner","[{'imdb_id': 'nm0722000'}, {'imdb_id': 'nm0957038'}]",False,,,,
45,1972,Music,MUSIC (Original Score),MUSIC (Original Dramatic Score),an0054009,The Godfather,tt0068646,Nino Rota,Nino Rota,[{'imdb_id': 'nm0000065'}],False,,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. The Godfather score, composed by Nino Rota, was originally announced as one of the five official nominees. It was later pointed out that portions of the score and the main theme were composed by Rota for his score to the 1958 Italian film, Fortunella. The Music Branch was given this information and re-balloted to determine the fifth nomination. The list of six films they were to choose from were the remaining five of the top ten preliminary listings, plus The Godfather score. The results of the re-balloting was that the fifth nomination became Sleuth, composed by John Addison.",,
45,1972,Title,BEST PICTURE,BEST PICTURE,an0053934,The Godfather,tt0068646,"Albert S. Ruddy, Producer",Albert S. Ruddy,[{'imdb_id': 'nm0748665'}],True,,,,
45,1972,Production,SOUND MIXING,SOUND,an0053992,The Godfather,tt0068646,"Bud Grenzbach, Richard Portman, Christopher Newman","Bud Grenzbach, Richard Portman, Christopher Newman","[{'imdb_id': 'nm0340311'}, {'imdb_id': 'nm0692446'}, {'imdb_id': 'nm0628039'}]",False,,,,
45,1972,Writing,WRITING (Adapted Screenplay),WRITING (Screenplay--based on material from another medium),an0053964,The Godfather,tt0068646,"Mario Puzo, Francis Ford Coppola","Mario Puzo, Francis Ford Coppola","[{'imdb_id': 'nm0701374'}, {'imdb_id': 'nm0000338'}]",True,,,,
67,1994,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an0053191,The Shawshank Redemption,tt0111161,Morgan Freeman,Morgan Freeman,[{'imdb_id': 'nm0000151'}],False,Red,,,
67,1994,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an0053194,Pulp Fiction,tt0110912,John Travolta,John Travolta,[{'imdb_id': 'nm0000237'}],False,Vincent Vega,,,
67,1994,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0053201,Pulp Fiction,tt0110912,Samuel L. Jackson,Samuel L. Jackson,[{'imdb_id': 'nm0000168'}],False,Jules Winnfield,,,
67,1994,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an0053208,Pulp Fiction,tt0110912,Uma Thurman,Uma Thurman,[{'imdb_id': 'nm0000235'}],False,Mia,,,
67,1994,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0053227,The Shawshank Redemption,tt0111161,Roger Deakins,Roger Deakins,[{'imdb_id': 'nm0005683'}],False,,,,
67,1994,Directing,DIRECTING,DIRECTING,an0053214,Pulp Fiction,tt0110912,Quentin Tarantino,Quentin Tarantino,[{'imdb_id': 'nm0000233'}],False,,,,
67,1994,Production,FILM EDITING,FILM EDITING,an0053247,Pulp Fiction,tt0110912,Sally Menke,Sally Menke,[{'imdb_id': 'nm0579673'}],False,,,,
67,1994,Production,FILM EDITING,FILM EDITING,an0053248,The Shawshank Redemption,tt0111161,Richard Francis-Bruce,Richard Francis-Bruce,[{'imdb_id': 'nm0290358'}],False,,,,
67,1994,Music,MUSIC (Original Score),MUSIC (Original Score),an0053268,The Shawshank Redemption,tt0111161,Thomas Newman,Thomas Newman,[{'imdb_id': 'nm0002353'}],False,,,,
67,1994,Title,BEST PICTURE,BEST PICTURE,an0053187,Pulp Fiction,tt0110912,"Lawrence Bender, Producer",Lawrence Bender,[{'imdb_id': 'nm0004744'}],False,,,,
67,1994,Title,BEST PICTURE,BEST PICTURE,an0053189,The Shawshank Redemption,tt0111161,"Niki Marvin, Producer",Niki Marvin,[{'imdb_id': 'nm0555550'}],False,,,,
67,1994,Production,SOUND MIXING,SOUND,an0053244,The Shawshank Redemption,tt0111161,"Robert J. Litt, Elliot Tyson, Michael Herbick, Willie Burton","Robert J. Litt, Elliot Tyson, Michael Herbick, Willie Burton","[{'imdb_id': 'nm0514448'}, {'imdb_id': 'nm0006525'}, {'imdb_id': 'nm0378655'}, {'imdb_id': 'nm0123770'}]",False,,,,
67,1994,Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material Previously Produced or Published),an0053224,The Shawshank Redemption,tt0111161,Frank Darabont,Frank Darabont,[{'imdb_id': 'nm0001104'}],False,,,,
67,1994,Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),an0053215,Pulp Fiction,tt0110912,Screenplay by Quentin Tarantino; Stories by Quentin Tarantino & Roger Avary,"Quentin Tarantino, Roger Avary","[{'imdb_id': 'nm0000233'}, {'imdb_id': 'nm0000812'}]",True,,,,
72,1999,Production,FILM EDITING,FILM EDITING,an0055214,The Matrix,tt0133093,Zach Staenberg,Zach Staenberg,[{'imdb_id': 'nm0821205'}],True,,,,
72,1999,Production,SOUND MIXING,SOUND,an0055233,The Matrix,tt0133093,"John Reitz, Gregg Rudloff, David Campbell, David Lee","John Reitz, Gregg Rudloff, David Campbell, David Lee","[{'imdb_id': 'nm0718676'}, {'imdb_id': 'nm0748832'}, {'imdb_id': 'nm0132372'}, {'imdb_id': 'nm1325883'}]",True,,,,
72,1999,Production,SOUND EDITING,SOUND EFFECTS EDITING,an0055239,Fight Club,tt0137523,"Ren Klyce, Richard Hymns","Ren Klyce, Richard Hymns","[{'imdb_id': 'nm0460274'}, {'imdb_id': 'nm0405232'}]",False,,,,
72,1999,Production,SOUND EDITING,SOUND EFFECTS EDITING,an0055238,The Matrix,tt0133093,Dane A. Davis,Dane A. Davis,[{'imdb_id': 'nm0204424'}],True,,,,
72,1999,Production,VISUAL EFFECTS,VISUAL EFFECTS,an0055241,The Matrix,tt0133093,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum","John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum","[{'imdb_id': 'nm0300665'}, {'imdb_id': 'nm0802938'}, {'imdb_id': 'nm0183871'}, {'imdb_id': 'nm0862039'}]",True,,,,
78,2005,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an0057315,Brokeback Mountain,tt0388795,Heath Ledger,Heath Ledger,[{'imdb_id': 'nm0005132'}],False,Ennis Del Mar,,,
78,2005,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0057325,Brokeback Mountain,tt0388795,Jake Gyllenhaal,Jake Gyllenhaal,[{'imdb_id': 'nm0350453'}],False,Jack Twist,,,
78,2005,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an0057330,Brokeback Mountain,tt0388795,Michelle Williams,Michelle Williams,[{'imdb_id': 'nm0931329'}],False,Alma,,,
78,2005,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0057351,Brokeback Mountain,tt0388795,Rodrigo Prieto,Rodrigo Prieto,[{'imdb_id': 'nm0006509'}],False,,,,
78,2005,Directing,DIRECTING,DIRECTING,an0057334,Brokeback Mountain,tt0388795,Ang Lee,Ang Lee,[{'imdb_id': 'nm0000487'}],True,,,,
78,2005,Music,MUSIC (Original Score),MUSIC (Original Score),an0057369,Brokeback Mountain,tt0388795,Gustavo Santaolalla,Gustavo Santaolalla,[{'imdb_id': 'nm0763395'}],True,,,,
78,2005,Title,BEST PICTURE,BEST PICTURE,an0057310,Brokeback Mountain,tt0388795,"Diana Ossana and James Schamus, Producers","Diana Ossana, James Schamus","[{'imdb_id': 'nm0652223'}, {'imdb_id': 'nm0770005'}]",False,,,,
78,2005,Writing,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),an0057344,Brokeback Mountain,tt0388795,Screenplay by Larry McMurtry & Diana Ossana,"Larry McMurtry, Diana Ossana","[{'imdb_id': 'nm0573505'}, {'imdb_id': 'nm0652223'}]",True,,,,
81,2008,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0048900,The Dark Knight,tt0468569,Heath Ledger,Heath Ledger,[{'imdb_id': 'nm0005132'}],True,Joker,,,
81,2008,Production,ART DIRECTION,ART DIRECTION,an0048937,The Dark Knight,tt0468569,Art Direction: Nathan Crowley; Set Decoration: Peter Lando,"Nathan Crowley, Peter Lando","[{'imdb_id': 'nm0189769'}, {'imdb_id': 'nm0484885'}]",False,,,,
81,2008,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0048928,The Dark Knight,tt0468569,Wally Pfister,Wally Pfister,[{'imdb_id': 'nm0002892'}],False,,,,
81,2008,Production,FILM EDITING,FILM EDITING,an0048932,The Dark Knight,tt0468569,Lee Smith,Lee Smith,[{'imdb_id': 'nm0809059'}],False,,,,
81,2008,Production,MAKEUP AND HAIRSTYLING,MAKEUP,an0048946,The Dark Knight,tt0468569,"John Caglione, Jr. and Conor O'Sullivan","John Caglione Jr., Conor O'Sullivan","[{'imdb_id': 'nm0128550'}, {'imdb_id': 'nm0642745'}]",False,,,,
81,2008,Production,SOUND EDITING,SOUND EDITING,an0048961,The Dark Knight,tt0468569,Richard King,Richard King,[{'imdb_id': 'nm0455185'}],True,,,,
81,2008,Production,SOUND MIXING,SOUND MIXING,an0048958,The Dark Knight,tt0468569,"Lora Hirschberg, Gary Rizzo and Ed Novick","Lora Hirschberg, Gary Rizzo, Ed Novick","[{'imdb_id': 'nm0386567'}, {'imdb_id': 'nm0729886'}, {'imdb_id': 'nm0637085'}]",False,,,,
81,2008,Production,VISUAL EFFECTS,VISUAL EFFECTS,an0048967,The Dark Knight,tt0468569,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin","Nick Davis, Chris Corbould, Tim Webber, Paul Franklin","[{'imdb_id': 'nm0002428'}, {'imdb_id': 'nm0179269'}, {'imdb_id': 'nm0916449'}, {'imdb_id': 'nm0291518'}]",False,,,,
83,2010,Production,ART DIRECTION,ART DIRECTION,an0349314,Inception,tt1375666,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,"Guy Hendrix Dyas, Larry Dias, Doug Mowat","[{'imdb_id': 'nm0245596'}, {'imdb_id': 'nm0224878'}, {'imdb_id': 'nm0610245'}]",False,,,,
83,2010,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0310804,Inception,tt1375666,Wally Pfister,Wally Pfister,[{'imdb_id': 'nm0002892'}],True,,,,
83,2010,Music,MUSIC (Original Score),MUSIC (Original Score),an0310828,Inception,tt1375666,Hans Zimmer,Hans Zimmer,[{'imdb_id': 'nm0001877'}],False,,,,
83,2010,Title,BEST PICTURE,BEST PICTURE,an0310753,Inception,tt1375666,"Emma Thomas and Christopher Nolan, Producers","Emma Thomas, Christopher Nolan","[{'imdb_id': 'nm0858799'}, {'imdb_id': 'nm0634240'}]",False,,,,
83,2010,Production,SOUND EDITING,SOUND EDITING,an0310840,Inception,tt1375666,Richard King,Richard King,[{'imdb_id': 'nm0455185'}],True,,,,
