slug,rank
hamnet,1
send-help,2
the-housemaid-2025,3
marty-supreme,4
iron-lung,5
sinners-2025,6
the-muppet-show,7
bugonia,8
one-battle-after-another,9
train-dreams,10
sentimental-value-2025,11
no-other-choice-2025,12
zootopia-2,13
the-moment-2026,14
the-secret-agent-2025,15
frankenstein-2025,16
if-i-had-legs-id-kick-you,17
people-we-meet-on-vacation,18
28-years-later-the-bone-temple,19
dead-poets-society,20
f1,21
even-if-this-love-disappears-tonight,22
good-will-hunting,23
wake-up-dead-man,24
eyes-wide-shut,25
die-my-love,26
the-perks-of-being-a-wallflower,27
weapons-2025,28
kill-bill-vol-1,29
the-rip-2026,30
avatar-fire-and-ash,31
dracula-2025,32
groundhog-day,33
10-things-i-hate-about-you,34
inglourious-basterds,35
the-wrecking-crew-2026,36
the-devil-wears-prada,37
la-la-land,38
fight-club,39
whiplash-2014,40
interstellar,41
parasite-2019,42
500-days-of-summer,43
kpop-demon-hunters,44
the-lord-of-the-rings-the-fellowship-of-the-ring,45
primate-2025,46
anaconda-2025,47
the-ugly-stepsister,48
best-in-show,49
the-silence-of-the-lambs,50
eternal-sunshine-of-the-spotless-mind,51
wonder-man-2026,52
pulp-fiction,53
return-to-silent-hill,54
the-notebook,55
little-miss-sunshine,56
how-to-lose-a-guy-in-10-days,57
call-me-by-your-name,58
se7en,59
28-years-later,60
the-lord-of-the-rings-the-return-of-the-king,61
rental-family-2025,62
bones-and-all,63
bottoms,64
eternity-2025-1,65
the-lord-of-the-rings-the-two-towers,66
blue-velvet,67
lost-in-translation,68
the-substance,69
guru-2025,70
dhurandhar,71
get-out-2017,72
