username,slug,rating,liked
sverlaan,interstellar,5.0,True
sverlaan,inception,5.0,True
sverlaan,the-dark-knight,4.5,True
sverlaan,fight-club,5.0,True
sverlaan,the-matrix,4.0,False
sverlaan,the-shawshank-redemption,5.0,True
sverlaan,pulp-fiction,4.0,True
sverlaan,the-godfather,5.0,True
flrz,interstellar,3.0,False
flrz,inception,4.5,False
flrz,the-dark-knight,3.5,False
flrz,fight-club,4.5,False
flrz,the-matrix,3.5,False
flrz,the-shawshank-redemption,3.5,False
flrz,pulp-fiction,3.5,False
flrz,the-godfather,4.0,False
liannehr,interstellar,4.5,True
liannehr,inception,3.5,False
liannehr,the-shawshank-redemption,4.5,False
